,breadcrumb,id,itemType,ldap,menuGroupId,menuId,menuItemId
2014-11-06 21:06:19,BPC - The Owl > RMC Internal Insights > AAS Coverage > AAS Questions,2273573,abi_report,ceccarelli,1558,32,7133
2014-11-06 21:06:33,BPC - The Owl > RMC Internal Insights > Users & Training > BPC Quiz Coverage,2273575,abi_report,ceccarelli,1558,32,7121
2014-11-06 21:08:23,BPC - The Owl > RMC Internal Insights > AAS Coverage > AAS Questions,2273588,abi_report,ceccarelli,1558,32,7133
2014-11-06 21:12:39,BPC - The Owl > Deal Insights > Metrics By Deal Activity > Geography Summary,2273636,abi_report,ceccarelli,1557,32,7102
2014-11-06 21:13:49,BPC - The Owl > Deal Insights > Metrics by Deal Stage > Geography - Unified Detail,2273646,abi_report,ceccarelli,1557,32,7111
2014-11-06 22:13:50,BPC - The Owl > Home,2274141,editable_area,sarahyee,225,32,0
2014-11-06 22:30:17,BPC - The Owl > Deal Insights > Metrics By Deal Activity > Geography Summary,2274243,abi_report,sarahyee,1557,32,7102
2014-11-06 22:30:31,BPC - The Owl > Deal Insights > Metrics By Deal Approver  >  TAT Summary  ,2274244,abi_report,sarahyee,1557,32,7108
2014-11-06 23:25:03,BPC - The Owl > Home,2274613,editable_area,mstechbart,225,32,0
2014-11-06 23:25:26,BPC - The Owl > Deal Insights > Metrics By Deal Activity > Geography Summary,2274617,abi_report,mstechbart,1557,32,7102
2014-11-06 23:25:28,BPC - The Owl > Deal Insights > Metrics By Deal Activity > Geography Summary,2274619,abi_report,mstechbart,1557,32,7102
2014-11-07 02:10:15,BPC - The Owl > Deal Insights > Metrics by Deal Stage > [New] Deal Review Reporting,2275509,duplos,joycean,1557,32,7675
2014-11-07 02:10:19,BPC - The Owl > Deal Insights > Metrics By Deal Activity > Accountability Summary,2275510,abi_report,meiling,1557,32,7103
2014-11-07 02:10:33,BPC - The Owl > Deal Insights > Metrics by Deal Stage > Geography - Unified Detail,2275511,abi_report,joycean,1557,32,7111
2014-11-07 02:10:40,BPC - The Owl > Deal Insights > Metrics for Sales  > Detail Data,2275512,abi_report,meiling,1557,32,7117
2014-11-07 02:11:12,BPC - The Owl > Deal Insights > Metrics by Deal Stage > Geography Summary,2275513,abi_report,meiling,1557,32,7110
2014-11-07 02:11:26,BPC - The Owl > Deal Insights > Metrics by Deal Stage > [New] Deal Review Analytics,2275514,duplos,meiling,1557,32,7754
2014-11-07 02:11:26,BPC - The Owl > Deal Insights > Metrics by Deal Stage > [New] Deal Review Reporting,2275515,duplos,meiling,1557,32,7675
2014-11-07 20:28:02,BPC - The Owl > Home,2282841,editable_area,ceccarelli,225,32,0
2014-11-07 22:19:39,BPC - The Owl > Home,2283272,editable_area,ceccarelli,225,32,0
2014-11-07 22:19:49,BPC - The Owl > Deal Insights > Metrics By Deal Activity > Geography Summary,2283273,abi_report,ceccarelli,1557,32,7102
2014-11-07 22:19:53,BPC - The Owl > Deal Insights > Metrics by Deal Stage > Geography - Unified Detail,2283274,abi_report,ceccarelli,1557,32,7111
2014-11-10 09:36:07,BPC - The Owl > Deal Insights > Metrics by Deal Stage > Geography - Unified Detail,2287098,abi_report,meiling,1557,32,7111
2014-11-10 10:54:08,BPC - The Owl > Home,2287602,editable_area,dmullen,225,32,0
2014-11-10 10:55:13,BPC - The Owl > Home,2287605,editable_area,dmullen,225,32,0
2014-11-10 10:55:21,BPC - The Owl > Deal Insights > Metrics by Deal Stage > [New] Deal Review Analytics,2287606,duplos,dmullen,1557,32,7754
2014-11-10 10:55:55,BPC - The Owl > Deal Insights > Metrics By Deal Approver  >  TAT Summary  ,2287610,abi_report,dmullen,1557,32,7108
2014-11-10 14:21:25,BPC - The Owl > Home,2288658,editable_area,bbuchholz,225,32,0
2014-11-10 14:21:32,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Controls Heatmap,2288659,dasnav_report,bbuchholz,1558,32,7270
